Images,Latitude,Longitude,Coords
IMG_0040_2.tif,-30.2725507,149.80339650000002,"(-30.2725507, 149.80339650000002)"
IMG_0186_3.tif,-30.2728263,149.80283540000002,"(-30.2728263, 149.80283540000002)"
IMG_0059_6.tif,-30.2727465,149.8036836,"(-30.2727465, 149.8036836)"
IMG_0053_2.tif,-30.2726303,149.80344670000002,"(-30.2726303, 149.80344670000002)"
IMG_0149_1.tif,-30.2731341,149.8038007,"(-30.2731341, 149.8038007)"
IMG_0031_3.tif,-30.2731556,149.80317050000002,"(-30.2731556, 149.80317050000002)"
IMG_0075_2.tif,-30.2727932,149.8034713,"(-30.2727932, 149.8034713)"
IMG_0017_6.tif,-30.2728359,149.8029281,"(-30.2728359, 149.8029281)"
IMG_0119_6.tif,-30.273037,149.8040454,"(-30.273037, 149.8040454)"
IMG_0136_4.tif,-30.2730317,149.8033598,"(-30.2730317, 149.8033598)"
IMG_0152_6.tif,-30.273154899999998,149.8040034,"(-30.273154899999998, 149.8040034)"
IMG_0046_1.tif,-30.2725419,149.803404,"(-30.2725419, 149.803404)"
IMG_0161_2.tif,-30.2731793,149.8036836,"(-30.2731793, 149.8036836)"
IMG_0078_3.tif,-30.272841099999997,149.8034464,"(-30.272841099999997, 149.8034464)"
IMG_0089_1.tif,-30.2729172,149.80408070000001,"(-30.2729172, 149.80408070000001)"
IMG_0021_6.tif,-30.2728421,149.8029214,"(-30.2728421, 149.8029214)"
IMG_0050_1.tif,-30.2725391,149.80340360000002,"(-30.2725391, 149.80340360000002)"
IMG_0167_2.tif,-30.2731393,149.8032827,"(-30.2731393, 149.8032827)"
IMG_0185_6.tif,-30.2728279,149.80283500000002,"(-30.2728279, 149.80283500000002)"
IMG_0098_5.tif,-30.2729771,149.80406440000002,"(-30.2729771, 149.80406440000002)"
IMG_0164_3.tif,-30.2731484,149.8033938,"(-30.2731484, 149.8033938)"
IMG_0156_5.tif,-30.273210799999998,149.8039601,"(-30.273210799999998, 149.8039601)"
IMG_0199_2.tif,-30.2728368,149.80293550000002,"(-30.2728368, 149.80293550000002)"
IMG_0039_3.tif,-30.2725437,149.8033968,"(-30.2725437, 149.8033968)"
IMG_0173_4.tif,-30.2731298,149.8030175,"(-30.2731298, 149.8030175)"
IMG_0142_1.tif,-30.2730922,149.8033149,"(-30.2730922, 149.8033149)"
IMG_0050_3.tif,-30.2725391,149.80340360000002,"(-30.2725391, 149.80340360000002)"
IMG_0106_6.tif,-30.272913799999998,149.8034043,"(-30.272913799999998, 149.8034043)"
IMG_0039_6.tif,-30.2725437,149.8033968,"(-30.2725437, 149.8033968)"
IMG_0072_2.tif,-30.2728039,149.80360470000002,"(-30.2728039, 149.80360470000002)"
IMG_0025_2.tif,-30.2729769,149.8030292,"(-30.2729769, 149.8030292)"
IMG_0080_1.tif,-30.2728605,149.8034402,"(-30.2728605, 149.8034402)"
IMG_0073_1.tif,-30.272793399999998,149.8035017,"(-30.272793399999998, 149.8035017)"
